document,ent1,ent1_start,ent1_end,ent2,ent2_start,ent2_end,relation
"The comparison of the results with those for the integral solver shows that the latter can provide better accuracy for smaller . It also gives greater potential for the solution improvement for large values of . On the other hand , for both benchmarks , there exists an intermediate interval where the solver based on the universal algorithm gives better accuracy .",the integral solver,8,11,the solution improvement,28,31,no relation found
"The paper is organised as follows . In Section 2 , we develop the formulation for the transient motion of a gyroscopic spinner connected to a mass embedded in a finite truss of elastic rods . There , we also provide illustrative examples that demonstrate how the model can be used to characterise the transient behaviour of the system . Moreover , to check the validity of the formulation , we compare the analytical results with the numerical outcomes obtained from an independent finite element model . In Section 3 , we consider periodic elastic systems connected to arrays of gyroscopic spinners . Specifically , we focus on a triangular elastic medium connected to two types of spinners and show how to realise highly localised waveforms in this medium in the transient regime . The second problem considered involves a gyro-elastic hexagonal lattice containing an interface defined by a heterogeneous system of spinners and we provide transient simulations demonstrating how to produce unidirectional interfacial waves . In Section 4 , two important applications for a hexagonal gyro-elastic lattice are presented . First , we discuss the problem of topological protection in a lattice with a hexagonal domain that contains a cavity and is excited on the exterior boundary . There , unidirectional edge waves travel along the external boundary of the lattice , leaving the interior almost undisturbed . Second , we design a discrete gyro-elastic invisibility cloak , which is capable of hiding a defect in a periodic structured medium . In Section 5 we provide some concluding remarks . In the appendices , we give additional details on the angular momentum balance of the gyroscopic spinner and on the dispersion relations of the elastic lattices considered in this paper .",Section,8,9,the interior,224,226,no relation found
"The problem of parameter identification for a slightly perturbed inhomogeneous isotropic elastic medium is considered with application to indentation stiffness tomography . A approach is applied to evaluate the contact stiffness of the inhomogeneous medium for a frictionless flat-ended cylindrical indenter . The cases of homogeneous spherical , hemispherical , and semi-infinite cylindrical inclusions embedded in a reference homogeneous medium represented by an elastic half - space are considered in detail . The so-called inhomogeneity sensitivity factors are introduced to estimate the characteristic size of inhomogeneity from the indentation data obtained from indenters of three different radii . The effect of elastic invisibility of inclusion to the indentation sensing is discussed . Based on the technique , an approach is proposed for locating and identifying a spherical inhomogeneity buried in an elastic half - space , which utilizes the indentation stiffness data collected from the half - space surface .",parameter identification,3,5,the characteristic size,81,84,no relation found
"It can be seen that the numerical results fall within the range of experimental data . This validation test demonstrates that the change of ICP during an infusion test can be successfully modelled by the numerical simulation . Both the infusion and decay stages , which are separated by the peak of ICP , are distinctively captured . It should be noted that the high frequency fluctuations of ICP from experiments are mainly caused by arterial pressure pulsations , which are not considered in the numerical modelling due to the lack of experimental data to quantify the input parameters . Therefore , the plot from numerical results is smooth without pulsatile fluctuations .",the plot,102,104,the change,21,23,no relation found
"Obviously , in order to meet the required functionality set forth , the inversion should ultimately be able to identify a symmetric KC model , with an isotropic equivalent model , even when the optimisation is performed using a full ( 21 moduli ) anisotropic constitutive model . This is a challenge due to the fact that no coupling between terms of compression strains to shear strains , implies that most of the 21 terms in the Hooke 's matrix should be zero for an isotropic equivalent . For this validation case , a set of target displacements are numerically generated using the KC model , in the following also referred to as the measured displacements in order to emphasise that they stem from experiments . To verify the generality of the approach , a priori , expected , material symmetry is not taken into account in the inverse estimation , and the equivalent material is addressed as fully anisotropic . As the characterisation of the symmetric KC model is expected to be the most sensitive case to deficiencies and uncertainties in the meshing , the following aspects will be investigated for this case : the influence of the geometry and the boundary conditions , the experimentally - related ambiguity in the evaluation of the target displacements discussed in Section 2.7 , and the influence of the number of cells in the KC array together with the mesh density in the equivalent solid . However , before going into such algorithmic details , some of the properties of the actual minimisation problem will be illustrated .",the required functionality,6,9,constitutive model,45,47,no relation found
"With the presented validation cases , the feasibility of the proposed approach for the characterisation of the static anisotropic Hooke 's tensor of an open-cell material has been demonstrated for different material symmetries . The displacements on the faces of a cellular material , under compression and shear displacement loads , may be replicated by an equivalent solid material model . The results from the present work suggest that shear deformations to a large extent control the convergence of the inverse estimation as the largest differences between predicted and target displacements in most cases investigated occur for prescribed shear deformations .",the faces,37,39,a large extent,72,75,no relation found
"We discuss a homogenized model of a pantographic bar considering flexoelectricity . A pantographic bar consists of relatively stiff small bars connected by small soft flexoelectric pivots . As a result , an elongation of the bar relates almost to the torsion of pivots . Taking into account their flexoelectric properties we find the corresponding electric polarization . As a results , the homogenized pantographic bar demonstrates piezoelectric properties inherited from the flexoelectric properties of pivots . The effective stiffness properties of the homogenized bars are determined by the geometry of the structural elements and shear stiffness whereas the piezoelectric properties follow from the flexoelectric moduli of the pivots .",account,47,48,the torsion,40,42,no relation found
"4. TEM [ 001 ] zone axis bright field images of precipitation in ( ) air - cooled and ( ) water - quenched undeformed materials . The imaged areas are of comparable thickness and identical scale . Precipitates oriented along [ 100 ] and [ 010 ] matrix crystallographic directions , i.e. , lying in the paper plane , are visible through the dark strain field in the surrounding matrix . Precipitates oriented along [ 001 ] , i.e. , out of the paper plane , appear as black dots . Differences in contrast and precipitate appearance are largely due to different specimen tilt and diffraction conditions .",zone,5,6,diffraction conditions,106,108,no relation found
"The issue of applicability of the Morphologically Representative Pattern ( MRP ) approach to elastic-plastic composites is addressed . The extension to the regime of non-linear material behaviour is performed by employing the concept of incremental linearization of the material response in two basic variants : tangent and secant . The obtained predictions are evaluated through comparison with the outcomes of numerical analyses . Finite Element simulations are carried out using periodic unit cells with cubic arrangements of spherical particles and representative volume elements ( RVE ) with 50 randomly placed inclusions . In addition to the analysis of the packing effect in two - phase composites , the size effect is also studied by assuming an interphase between the matrix and inclusions . It is concluded that the MRP approach can be used as an effective predictive alternative to computational homogenization , not only in the case of linear elasticity but also in the case of elasticplastic composites .",approach,12,13,the material response,38,41,no relation found
"The influence of the particle size and packing on the overall elastic-plastic properties of metal- matrix composites has been analyzed . The field Morphologically Representative Pattern ( MRP ) approach , originally developed to address linear material behaviour , has been adapted to account for non-linearity . Within the proposed MRP formulation , a particulate composite microstructure has been represented by two patterns : one with a spherical inclusion surrounded by a layer having a thickness defined by the mean minimum distance between particles in the representative volume , and the second one carrying the remaining pure matrix material . Both patterns are embedded in a homogenized effective medium . The mean minimum distance parameter describes the packing ( clustering ) of the particles . To take into account the size effects , an interphase surrounding the inclusion in the first pattern has been introduced . Its thickness plays the role of the size parameter .",account,43,44,the role,149,151,no relation found
"The validity of the analytical mean-field estimates , and in particular of the MRP approach , with respect to computational homogenization results has been analyzed . The numerical simulations have been performed using the finite element ( FE ) method . Two types of composite volume elements have been subjected to numerical homogenization : periodic unit cells of cubic crystal - type arrangements and representative volume elements with a random distribution of particles . In the first case , the elastic-plastic MMC response depends on the loading direction . In the uniaxial strain process in different directions , the highest average value of the Mises equivalent stress is obtained for the regular cubic placement of particles and the smallest one for the FCC cell . At the same time , the largest and the smallest anisotropy degree ( assessed in terms of the difference between the minimum and maximum values obtained for a given cell ) have been respectively observed for these two unit cells .",composite volume elements,44,47,these two unit cells,161,165,no relation found
The thermal loop operates on a two fluid flow . A 2.64 kW counter flow tube - in- tube heat exchanger is used to control the vapor quality in the fluid flow . A liquid - vapor mixture is throttled from the heat exchanger to a two - phase rotary pump through a one - way flow control valve . The fluid mixture is then pumped into a cyclone where the vapor stream is separated from the liquid stream by centrifugal forces . The vapor line is re-connected to the liquid stream to atomize the liquid at the entry of the spray nozzle . Fine fluid droplets ( spray droplets ) produced are impinged on the heated test surface . The vapor produced due to phase change of the fluid spray upon impingement on the heated surface expands into the heat exchanger . Excess liquid fluid on the test surface inside the heater chamber is drained and reconnected to fluid mixture from the one - way valve to the entry of the rotary pump . The vapor to the heat exchanger is cooled back down into a liquid - vapor mixture and the process is repeated for the cycle . A fluid reservoir has been incorporated into the loop for fluid supply during shortages and high fluid demand .,the test surface,147,150,the vapor quality,25,28,no relation found
"3 has lower distortion compared to specimen without Al 2 3 . The addition of ceramic particles on the aluminium decreased the thermal conductivity , due to lower thermal conductivity of the ceramic . The electroless coating on Al 2 3 also affected the distortion of specimen . Al 2 3 with electroless coating has better wettability in Al matrix which better bonding interface between Al6061 and Al 2 3 increased the heat capacity of composite that reduces in distortion [ 35 ] .",the aluminium,18,20,the distortion,43,45,no relation found
"With considering Indian homologation standards and without affecting the structural integrity , changes has been done on bus body . Drag is the force acting opposite to the relative motion of the bus with respect to surrounding air . Aerodynamic drag is due to force developed against flow of fluid over vehicle body . This drag varies with respect to speed . High speed finds more drag . so the analysis done on high speed range of bus i.e. from 80 to 120 kmph at interval of 10 kmph . Rolling resistance also increases with increase in the speed .",Aerodynamic drag,39,41,speed,60,61,no relation found
"The interactions of volume DMF - stirring time ( 34 ) , the mass of the PSU - volume of DMF ( 13 ) and the mass of the EPS - stirring time ( 14 ) mean that the main effects of the factors X 3 and X 4 vary according to the values of 1 , whose factors are not independent . Mass interactions of PSU - EPS ( 12 ) and the mass of the EPS - stirring of the times ( 24 ) mean that the main effects of the factors X 1 and X 4 vary with the values of 2 , the factors of which are not so independent .",Mass interactions,63,65,X,44,45,no relation found
"This study adopted the modulus of elasticity ( MoE ) as the secant modulus on the basis of a common scientific term and considered a descending string from the radix to a particular spot point on the stress-strain relationship curve . However , the secant modulus computed in this investigation was approximately 36.3 of the highest stress peak point . MoEs of the SFA - based concrete mortars were measured at interval periods of 3 , 14 , 28 , 56 , and 91 days and 1 year .",the secant modulus,11,14,a common scientific term,18,22,This study adopted the modulus of elasticity ( MoE ) as the secant modulus on the basis of a common scientific term.
"2.2.2.2.6 . FTIR infrared spectroscopy . Synthesized membranes ( PSU - 1 and PSU - EPS - 2 ) were characterized using Fourier Transform Infrared spectroscopy BRUKER TENSOR type . Then , PSU - based and PSU - EPS - based membrane samples were analyzed in solid state at room temperature as films . 2.2.2.2.7 . NMR spectroscopy . In order to confirm the chemical structures of the synthesized membranes ( PSU - 1 and PSU - EPS - 2 ) ; we have proceeded to nuclear magnetic resonance ( 1 NMR and 13 NMR ) spectroscopy . 2.2.2.2.8 . SEM . The observation of the porosity of membranes ( PSU - 1 and PSU - EPS - 2 ) films was carried out in the UTRS - CNRST ( Morocco ) using SEM Quanta 200 and EFI brand type . As the surface analysis of samples PSU - 1 and PSU - EPS - 2 happens directly without any preliminary preparation . Experimental plane of the PSU - 1 membrane .",the chemical structures,63,66,Morocco,130,131,no relation found
"The major objective of this work is to increase awareness to the personnel involved in Marine boiler operations onboard merchant ships , offshore as well as onshore facilities , and contribute literature to take necessary measures for mitigation of the future accidents related to Marine boiler operation . In this section , the results of the risk assessment for fuzzy risk prioritization obtained by the rule - based fuzzy techniques are briefly discussed .",this section,49,51,Marine boiler operation,44,47,no relation found
"The major objective of this work is to increase awareness to the personnel involved in Marine boiler operations onboard merchant ships , offshore as well as onshore facilities , and contribute literature to take necessary measures for mitigation of the future accidents related to Marine boiler operation . In this section , the results of the risk assessment for fuzzy risk prioritization obtained by the rule - based fuzzy techniques are briefly discussed .",The major objective,0,3,Marine boiler operations,15,18,The major objective is to increase awareness in marine boiler operations.
"Based on the fuzzy RPN value , "" FM - 18 Fuel / Gas pipe Leakage "" has the highest risk priority number . Since the boiler utilizes fuels of highly flammable and potentially explosive nature , exercising extreme care is of paramount importance when making fuel - piping connections and using correct gaskets . Maintenance of damaged seals , loose joints , tightening torque to bolts and valve packings , thread lubricants , and rigorous leak check implementation can help protect the structure of the boiler and further eradicating the risk of severe and costly property damage . Second top risk contributor "" Active local pitting corrosion from water / Steam side "" is mainly due to irregular water treatment , poor maintenance , oxygen in feed water or improper pH control . In order to control the boiler leaks , tube leaks , holes and pitting , it is recommended for the operational staff to carry out regular water treatment , maintain inspection log and perform routine maintenance as per company instructions .",thread lubricants,71,73,water / Steam side,109,113,no relation found
"Medical intervention makes use of puncture and catheterisation techniques for disease diagnosis and treatment , relying on the guidance of medical imaging equipment , and represents a new medical discipline that is independent of internal medicine and surgery . It is officially the third largest medical discipline . Interventional therapy consists of both vessel intervention and non-vessel intervention . The operation of the catheter and guide wire in the vessel is a key to vessel intervention , and thus , a mechanical analysis of the catheter and guide wire in the blood vessel is needed .",The operation,59,61,intervention,1,2,The operation of the catheter and guide wire in the vessel is a key to vessel intervention.
"soft elastic tube with one end connected to the crosser hub and the other to the tip . The guide wire is an elastic rod or tube that can rotate and is set in the transmission wire , with one end connected to the crosser hub and the other to the tip . The transmission wire can rotate around the guide wire . Liquid medicine can be injected through the annuls between the transmission wire and the guide wire to flow out from the tip .",The guide wire,18,21,tube,2,3,The guide wire is an elastic rod or tube.
ISAT results were in line with the mass change outcomes of concrete after the impact of freeze - thaw tests ; both the water and air tests . Concrete samples with ratios of 0.32 and 0.37 and treated with 4 sodium acetate have shown the least water absorption rates among all mixtures . This amount of treatment has helped water absorption rate to drop by 78 and 85 for mixtures with 0.32 and 0.37 ratios respectively compared to their control mixtures ( .,Concrete samples,28,30,water absorption,46,48,Concrete samples with ratios of 0.32 and 0.37 and treated with 4 sodium acetate had the least water absorption.
Glide formation is a major hiatus resolution strategy in ( isi ) Ndebele . The most commonest example of contexts in which such a process occurs is when the high vowel [ ] of the infinitive prefix / uku ' to ' in Ndebele juxtaposed with vowel commencing verbal forms undergoes glide formation .,in which such a process,20,25,verbal forms,48,50,A common example in which such a process occurs of verbal forms in Ndebele.
"Glide / consonantal epenthesis in ( isi ) Ndebele is another major vocalic hiatus resolution strategy . This process also occurs at the same preposition noun boundary that vowel coalescence occurs as is discussed and exemplified in ( 11a ) below . The reason why coalescence doesn't take place in the contexts discussed here in ( 10 ) as it does in ( 11a ) is because of the presence of the plural marker vowel / Coalescence at such a boundary in ( isi ) Ndebele only takes place if the noun that provides 2 commences in the initial vowels / examples 10 , 16 , 17 and 18 ) . If the nouns begin with the mid-back vowel / , which occurs as either a plural marker or an agreement morpheme , consonantal epenthesis and not coalescence takes place .",This process,17,19,place,48,49,no relation found
"The researcher 's role in this conversation differs from Preston 's fieldworker in that I tried to elicit specific features from the participants , while the participants themselves were not as interested in talking about features as they were in talking about social and educational issues . There was no overt dispute going on , and all participants seemed to agree and engaged in constructing meaning together rather than refuting and conceding points .",The researcher 's role,0,4,features,19,20,The researcher 's role differs from Preston 's fieldworker in that I tried to elicit specific features from the participants.
"The data were collected as part of a focus-group conversation functioning as a folk-linguistic interview . The conversation took place in a private home in Marblehead , Massachusetts during a family gathering in November , 2001 . Participants were given broad linguistics topics to discuss , and the interviewer attempted minimal involvement , although participants were prompted for specific examples and to reflect on their feelings and attitudes toward the issues discussed .",Participants,37,38,a family gathering,29,32,Participants had a conversation during a family gathering.
"It is not surprising to see that the higher AWL coverage and the higher level SS and CREW texts bear some relationship to each other , since the textbooks ( see Appendix ) used in these are meant to develop skills essential to those progressing to higher levels of academic study , for example , students ' study , critical reading , critical thinking and effective writing skills . In a similar vein , the CSI contained little academic vocabulary since the textbooks used in this are built on developing readers ' communication skills in order for them to become better communicators . As to the sub-corpus TEYL , the AWL coverage of this ( 5.86 ) was less than the SS and CREW . The textbooks in TEYL sub- corpus aim to provide the students with a useful and workable theoretical framework and set of principles in which they can embed and develop their practice . This in turn requires a prior background knowledge of second - language learning and teaching terms and notions , and contains a number of technical words .",TEYL sub- corpus,128,131,better communicators,100,102,no relation found
This concise review of the available literature shows that studies on argumentative interactions among family members during mealtime have devoted considerable attention to investigating the argumentative strategies adopted by parents and the argumentative skills of young children . This study aims to provide a further contribution to the research strand on family argumentation . The purpose of this paper is to investigate the types of responses by children aged between 3 and 7 years in argumentative discussions relating to parental rules and prescriptions .,the available literature,4,7,the types,62,64,no relation found
